price_rub,lat,lon,total_area_m2,rooms,floor_ratio,house_year,housing_market,property_format,source,address_exact,residential_complex
13998402.0,55.75119,37.84503,34.8,1.0,0.5217391304347826,,new_building,flat,avito,"ул. комсомольская, стр. 13-17",жк «эво»
10347380.0,55.82728,37.93604,44.5,1.0,1.0,,unknown,flat,avito,"мкр. гагарина, ул. проектная, д. 4",жк «идеал»
5800000.0,55.93579483,37.97418594,37.6,1.0,0.42857142857142855,2015.0,unknown,flat,avito,"московская обл., щелково, мкр-н финский, 7",unknown
13538700.0,55.6056,37.41639,31.5,1.0,0.625,,new_building,flat,avito,"п. сосенское, стр. 57",саларьево парк
6600000.0,55.832733,37.926314,38.0,1.0,0.10526315789473684,,new_building,flat,avito,"московская обл., балашиха, ул. дмитриева, 12",unknown
10648696.0,55.45458,37.27996,47.3,1.0,0.6666666666666666,,unknown,flat,avito,"ул. академика франка, стр. 1",жк «троицкий»
8388194.0,55.89999,37.2542,37.7,1.0,0.8333333333333334,,new_building,flat,avito,"д. юрлово, д. 5",жк «большое юрлово»
7970000.0,55.937709,37.851862,40.7,1.0,0.1111111111111111,2018.0,unknown,flat,avito,"московская обл., королев, мкр-н юбилейный, ул. м.к. тихонравова, 35к7",unknown
2550000.0,55.58116835527135,39.51835424768673,29.9,1.0,1.0,1982.0,unknown,flat,avito,"московская обл., шатура, ул. строителей, 2",unknown
9424660.0,55.90924,37.78615,32.6,1.0,0.08,,new_building,flat,avito,"ярославское ш., стр. 2.2",ярославский квартал
3250000.0,56.09944916,38.12275696,32.0,1.0,1.0,,unknown,flat,avito,"московская обл., г.о. пушкинский, красноармейск, ул. морозова, 4",unknown
5950000.0,55.750459,38.02106,32.0,1.0,0.2,1974.0,unknown,flat,avito,"московская обл., балашиха, мкр-н железнодорожный, советская ул., 26",unknown
3850000.0,55.71186223953902,38.94940900347538,39.2,1.0,0.4,,unknown,flat,avito,"московская обл., орехово-зуевский г.о., ликино-дулево, юбилейная ул., 9",unknown
3600000.0,56.07516244284038,37.55436758683646,33.0,1.0,0.6,1974.0,unknown,flat,avito,"московская обл., г.о. мытищи, с. марфино, зеленая ул., 5а",unknown
6900000.0,55.5657,37.68456,25.3,1.0,0.75,,unknown,flat,avito,"д. тарычево, ул. фруктовые сады, д. 1.2",жк 1-й южный
11144000.0,55.56746,37.29202,39.8,1.0,0.125,,new_building,flat,avito,"пос. филимонковское, ул. оао марьинская птицефабрика, корп. 2.1.5",середневский лес
6290000.0,55.641859,37.056601,37.5,1.0,0.38461538461538464,2024.0,new_building,flat,avito,"московская обл., одинцовский г.о., д. малые вяземы, жилой комплекс высокие жаворонки, к10",unknown
16889154.0,55.80745,37.38186,33.0,1.0,0.20833333333333334,,new_building,flat,avito,"московская область, красногорск, жилой комплекс квартал строгино, к2",жк «квартал строгино»
8243938.0,55.51132,37.74064,40.9,1.0,0.8461538461538461,,new_building,flat,avito,"ленинский городской округ, жилой комплекс новое видное, 18.2",жк «новое видное»
3650000.0,55.809424,38.970345,30.6,1.0,0.8,1982.0,unknown,flat,avito,"московская обл., орехово-зуевский г.о., орехово-зуево, ул. пушкина, 22",unknown
8306500.0,55.60123,38.08486,44.9,1.0,0.2777777777777778,,new_building,flat,avito,"ул. гудкова, стр. 2",жк «гранд комфорт»
5950000.0,55.91203308,37.85996628,34.3,1.0,0.5,1988.0,unknown,flat,avito,"московская обл., королев, ул. горького, 4в",unknown
